series_code,date,value,period,value_raw,year,month,mom_pct,yoy_pct,series_name,series_name_api,series_title_api,frequency,unit,theme,priority,source
PN01271PM,2023-10-01,-0.322447443370826,Oct.2023,-0.322447443370826,2023,10,-2065.827296816241,-192.74996850484914,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-11-01,-0.163060842314584,Nov.2023,-0.163060842314584,2023,11,-49.430257343657004,-131.5008404524985,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-12-01,0.405777961086682,Dic.2023,0.405777961086682,2023,12,-348.8506469896909,-48.889582126679635,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-01-01,0.0192113272793558,Ene.2024,0.0192113272793558,2024,1,-95.26555675229196,-91.51617471508071,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-02-01,0.557510800936321,Feb.2024,0.557510800936321,2024,2,2801.990023018418,89.29310358331328,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-03-01,1.00938516188575,Mar.2024,1.00938516188575,2024,3,81.05212673736919,-19.47380819491613,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-04-01,-0.0516715997229469,Abr.2024,-0.0516715997229469,2024,4,-105.11911623769198,-109.28924495796785,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-05-01,-0.0907064485030323,May.2024,-0.0907064485030323,2024,5,75.54410738081015,-128.53647224919928,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-06-01,0.121741927959431,Jun.2024,0.121741927959431,2024,6,-234.2152955700401,-179.68981491628108,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-07-01,0.236268738691571,Jul.2024,0.236268738691571,2024,7,94.073432753837,-39.58345359913737,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-08-01,0.284170528141876,Ago.2024,0.284170528141876,2024,8,20.274281614901568,-24.449376227207352,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-09-01,-0.237560474773851,Sep.2024,-0.237560474773851,2024,9,-183.59785806332658,-1548.3069273958934,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-10-01,-0.0931035230159262,Oct.2024,-0.0931035230159262,2024,10,-60.80849598210418,-71.12598504654483,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-11-01,0.0941530377317251,Nov.2024,0.0941530377317251,2024,11,-201.127255641679,-157.74104708111406,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2024-12-01,0.105667996950954,Dic.2024,0.105667996950954,2024,12,12.230045356623576,-73.95915818888416,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-01-01,-0.0933179134509413,Ene.2025,-0.0933179134509413,2025,1,-188.31237095774134,-585.7442283606262,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-02-01,0.188012094871704,Feb.2025,0.188012094871704,2025,2,-301.47481648370217,-66.27651077684165,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-03-01,0.810159321766145,Mar.2025,0.810159321766145,2025,3,330.9080872265068,-19.73734582618669,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-04-01,0.31806633832046,Abr.2025,0.31806633832046,2025,4,-60.74027295926482,-715.5534955872665,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-05-01,-0.0564746187563057,May.2025,-0.0564746187563057,2025,5,-117.75561005748621,-37.73913576340963,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-06-01,0.128679643778829,Jun.2025,0.128679643778829,2025,6,-327.85393972130396,5.6987070401167905,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-07-01,0.231431002364371,Jul.2025,0.231431002364371,2025,7,79.85051525488225,-2.0475566738074713,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-08-01,-0.29025398690341,Ago.2025,-0.29025398690341,2025,8,-225.4170720163181,-202.1407775117681,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-09-01,0.0111517897177685,Sep.2025,0.0111517897177685,2025,9,-103.84207977183775,-104.69429509617902,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-10-01,-0.0996274056654658,Oct.2025,-0.0996274056654658,2025,10,-993.3759350458905,7.0071275911048225,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-11-01,0.110781919406383,Nov.2025,0.110781919406383,2025,11,-211.1962302605494,17.661545580759054,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2025-12-01,0.244108583947482,Dic.2025,0.244108583947482,2025,12,120.3505637522083,131.0146789862833,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2026-01-01,0.0957671016980487,Ene.2026,0.0957671016980487,2026,1,-60.76864641570645,-202.62456387689696,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2026-02-01,0.693626297343638,Feb.2026,0.693626297343638,2026,2,624.2845246905608,268.9264234925715,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2026-03-01,2.37869353004195,Mar.2026,2.37869353004195,2026,3,242.93589201441304,193.60811708694592,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2026-04-01,0.5206244057768,Abr.2026,0.5206244057768,2026,4,-78.11301038988329,63.68422025604532,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-05-01,1.62529936356837,May.2021,1.62529936356837,2021,5,,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-06-01,2.15341721747944,Jun.2021,2.15341721747944,2021,6,32.49357415310734,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-07-01,3.18265280228778,Jul.2021,3.18265280228778,2021,7,47.79545628473487,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-08-01,4.19893518597413,Ago.2021,4.19893518597413,2021,8,31.931927446054374,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-09-01,4.61617118480006,Sep.2021,4.61617118480006,2021,9,9.93670967391067,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-10-01,5.22677923280251,Oct.2021,5.22677923280251,2021,10,13.227586750097897,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-11-01,5.60368427822658,Nov.2021,5.60368427822658,2021,11,7.21103816780071,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2021-12-01,6.43038716340725,Dic.2021,6.43038716340725,2021,12,14.75284552330811,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-01-01,0.0372679999999974,Ene.2022,0.0372679999999974,2022,1,-99.420439251122,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-02-01,0.348839999999996,Feb.2022,0.348839999999996,2022,2,836.0309112375774,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-03-01,1.83667199999999,Mar.2022,1.83667199999999,2022,3,426.5084279325798,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-04-01,2.816232,Abr.2022,2.816232,2022,4,53.33342044741875,,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-05-01,3.211072,May.2022,3.211072,2022,5,14.02015174886162,97.56803404820403,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-06-01,4.439931,Jun.2022,4.439931,2022,6,38.26943151695132,106.18071426014271,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
PN01272PM,2022-07-01,5.422597,Jul.2022,5.422597,2022,7,22.1324610675256,70.37978494236272,Inflacion acumulada anual Lima Metropolitana,Índice de precios Lima Metropolitana (var% acumulada) - IPC,Índice de precios Lima Metropolitana (var% acumulada),mensual,%,Inflacion,alta,BCRP
